email_from,frequency
Groupe Desjardins / AccesD <services.de.cartes@scd.desjardins.com>,1451
Groupe Desjardins / AccesD <servicesprimaire@desjardins.com>,75
Royal Bank of Canada <securityclient@rbc.com>,51
Groupe Desjardins / AccesD <securiteaccesd@desjardins.com>,44
"=?ISO-8859-1?Q?S=E9curit=E9?= informatique Mouvement des Caisses
 Desjardins  <services.de.cartes.desjardins@scd.desjardins.com>",44
AFRICAN UNION OFFICE <african_union_office@excite.com>,29
"""editor@QualityStocks.net"" <editor@qsnews.net>",28
AscendClick <AscendClick@ascendclick.com>,27
"""Desjardins Security Service"" <service.de.cartes@desjardins.com>",27
Mail Delivery Subsystem <MAILER-DAEMON@flax9.uwaterloo.ca>,27
