Word,Frequency
to,6373
the,5736
your,3867
and,3531
submission,3509
in,3186
you,2885
of,2703
a,2639
id,2463
this,2093
is,2036
for,1899
as,1873
no,1595
on,1481
sender,1410
account,1365
added,1321
notes,1275
it,1262
be,1252
that,1240
or,1169
email,1156
if,1137
i,1109
org,1101
not,1090
virus,1076
same,1033
we,1026
will,1019
have,998
please,949
are,929
with,911
total,889
from,885
s,862
mail,846
com,785
by,740
message,728
our,672
monkey,656
e,640
information,635
do,614
all,600
1,596
click,592
jose,585
security,585
any,580
http,571
usaa,535
can,513
has,502
at,498
an,495
was,456
new,454
trojan,446
here,442
update,441
dear,432
t,432
contact,414
us,404
use,381
2520262,375
been,375
but,367
r,367
help,366
more,366
service,355
may,352
already,351
online,350
sent,346
now,344
2,341
detected,341
0,318
name,315
about,315
www,309
below,298
request,278
virscan,272
password,268
would,265
need,265
customer,265
verify,263
some,261
access,261
important,260
out,252
my,251
server,248
address,239
time,238
what,237
so,234
there,233
only,232
re,229
one,229
payment,225
upgrade,225
3,223
system,222
other,220
data,217
privacy,217
services,215
view,215
number,215
get,214
up,214
5,211
mailbox,211
list,207
c,207
reply,202
using,198
which,196
alias,196
team,196
10,195
messages,194
bank,193
details,191
thank,190
4,190
link,190
send,189
bitdefender,186
rights,185
secure,185
note,184
page,184
when,184
thanks,183
regards,182
2007,181
me,179
its,178
banking,176
they,176
reserved,174
like,173
how,172
linux,169
sign,167
don,166
into,165
am,165
also,164
continue,164
subject,162
want,160
de,159
error,158
m,157
make,157
web,157
8,156
mobile,156
received,155
support,155
9,155
free,154
bna,153
statement,153
6,152
know,152
7,149
kindly,149
change,144
receive,142
read,141
d,140
intended,140
news,139
delivery,138
because,137
visit,137
cancel,137
he,137
should,137
group,136
due,136
within,136
full,136
device,135
order,133
work,133
p,132
confirm,131
inc,131
card,131
file,131
way,129
code,129
company,128
html,128
unsubscribe,127
emails,127
open,126
editable,126
after,125
storage,125
software,125
add,125
co,124
ve,124
who,124
user,123
keep,122
download,122
member,121
their,121
ip,120
than,120
then,120
first,119
