Word,Frequency
your,727
re,628
account,527
org,402
monkey,395
jose,362
8,289
utf,260
update,251
for,235
email,216
to,197
notification,167
new,164
in,162
b,162
you,159
on,148
mail,138
alert,128
security,127
a,126
is,124
has,117
q,117
the,116
mailbox,113
1,110
information,109
important,104
and,103
notice,100
payment,100
of,98
warning,98
have,96
from,92
usaa,91
r,83
password,83
e,83
been,81
pending,79
message,79
with,76
incoming,72
we,71
ilug,70
verification,68
be,67
zzzzteana,66
now,63
messages,63
fw,62
desk,61
will,61
confirm,60
please,58
help,57
activation,57
source,56
upgrade,55
it,55
9,55
de,55
service,55
urgent,54
2,54
spambayes,52
some,52
online,52
required,51
checking,48
final,48
activity,47
request,47
review,45
received,44
s,44
perl,44
locked,44
id,44
transfer,43
file,43
delivery,43
via,43
savings,42
com,42
action,40
bank,39
storage,39
server,39
billing,39
document,38
plan,38
quota,38
statement,36
order,36
verify,35
reminder,34
full,33
trouble,33
access,33
having,33
confirmation,32
current,32
report,31
3,31
mails,30
not,30
files,30
20,30
bug,29
sent,28
last,28
d0,28
are,28
news,27
wetransfer,27
opensuse,26
commit,26
error,26
invoice,26
emails,26
unusual,26
svn,26
no,26
paypal,26
6,25
11,24
parcel,24
package,24
termination,24
21,23
blocked,23
daily,23
detected,22
todo,22
status,22
4,22
case,22
data,22
an,22
10,22
samba,22
t,22
suspicious,21
transaction,21
about,21
icon,21
check,21
modules,21
shutdown,21
was,20
dhl,20
suspension,20
users,20
card,20
use,20
support,20
dev,20
kai,20
e2,20
expire,19
7,19
sign,19
system,19
issue,19
2007,19
2020,19
wells,19
test,19
fargo,19
address,18
m,18
spam,18
d1,18
july,18
branches,17
py,17
april,17
smbd,17
undelivered,17
deactivation,17
that,17
login,17
samba_3_0_25,17
by,17
attention,17
number,16
samba_3_0,16
inquiry,16
5,16
its,16
validate,16
user,16
2022,16
hold,16
suspended,16
at,15
under,15
sm,15
cnn,15
needed,15
all,15
do,15
failure,15
documents,15
webmail,15
recent,15
shipping,15
question,15
failed,15
checkins,15
summary,15
today,15
avoid,15
20account,15
fwd,15
problem,15
plan9,15
18,15
web,14
2001,14
soon,14
unread,14
edis,14
vs,14
temporarily,14
can,14
preference,14
delivered,14
admin,14
sugar,14
get,14
9c,14
c,14
12,14
19,14
authorization,13
uri,13
tomorrow,13
membership,13
could,13
pm,13
blacklisted,13
statewide,13
standard,13
spamassassin,13
shared,13
contact,13
c3,13
dear,13
express,13
limited,13
backtracking,13
helpdesk,13
low,13
python,13
onedrive,12
apple,12
almost,12
doc,12
caiso,12
windows,12
limit,12
microsoft,12
00,12
clamav,12
expired,12
due,12
read,12
proposal,12
way,12
administrator,12
reset,12
exceeded,12
digest,12
this,12
using,12
20your,12
details,12
2019,12
cenceled,12
reasons,12
alibaba,12
netflix,12
virus,11
virusdb,11
software,11
need,11
untrusted,11
secure,11
iso,11
profile,11
fix,11
alerts,11
pay,11
cheque,11
immediately,11
pdf,11
customer,11
shipment,11
unix,11
vol,11
arrived,11
noticed,10
call,10
just,10
activate,10
protection,10
enron,10
ready,10
stock,10
or,10
one,10
method,10
ownership,10
team,10
emacs,10
2021,10
inc,10
as,10
free,10
sparc,10
running,10
science,10
op,9
i,9
banking,9
pmm,9
business,9
estatement,9
13,9
settings,9
iimited,9
receipt,9
p,9
04,9
february,9
back,9
activities,9
u,9
0,9
deal,9
path,9
sem,9
app,9
absa,9
ve,9
gas,9
changes,9
purchase,9
note,9
posting,9
fileservers,9
09,9
linkedin,9
being,9
bush,9
processing,9
project,9
us,9
15,9
list,9
ip,9
date,9
questions,9
meeting,8
365,8
14,8
kaiw,8
america,8
forecast,8
ref,8
survey,8
eol,8
n,8
laptop,8
lists,8
ict,8
vista,8
sun,8
os,8
03,8
domain,8
forwarding,8
linux,8
validation,8
processed,8
share,8
uai,8
health,8
bill,8
communication,8
contract,8
staff,8
portal,8
agreement,8
updated,8
someone,8
time,8
assistance,7
ticket,7
another,7
http,7
29,7
code,7
dkim,7
